"vesselName","Month","Avg_Speed","Avg_Consumption","Avg_Draft"
"vessel04","2017-02",12.0102608645798,20.3666642215832,8.05555555555556
"vessel04","2017-03",11.9961489863692,23.1110876610548,9.41478260869565
"vessel04","2017-04",12.3003346733941,23.7950736872078,10.008
"vessel04","2017-05",12.4530089271259,19.1195693327416,7.18333333333333
"vessel04","2017-06",12.3702696391295,22.5102977884224,9.57391304347826
"vessel04","2017-07",13.096606931729,20.2817709733465,10.0142857142857
"vessel04","2017-08",12.9132859094871,20.2652220927476,9.81363636363636
"vessel04","2017-09",13.5518376201331,27.6488842174546,10.9365384615385
"vessel04","2017-10",12.9002009728623,21.9674582192695,8.525
"vessel04","2017-11",12.8508878940368,18.9891166117712,8.2375
"vessel04","2017-12",13.2188931781472,26.587614437027,10.1058823529412
"vessel05","2016-01",12.455664482901,22.4894053137807,9.58125
